AR1,AR2,AR3,AR4
-94.417077,39.092185,323.0639448,0
-94.428586,39.091169,313.4419213,1.02288957457655
-94.432206,39.08325,287.00072,2.00886059962828
-94.432562,39.073866,295.0640083,3.05352651909228
-94.432929,39.065257,279.0340789,4.01133478962258
-94.433322,39.05606,300.0891072,5.03456353818698
-94.438959,39.050986,310.391119,6.0852164715464
-94.439112,39.045918,315.4416154,7.02773456749948
-94.437261,39.037486,324.62,8.01166109209295
-94.439928,39.029023,315.1595418,9.0214485153266
-94.447231,39.022924,313.5264,10.0111640302834
-94.456583,39.018004,313.8740973,11.0263815469883
-94.46164,39.010505,315.904,12.0028029392062
-94.471797,39.008717,317,13.0646414354532
-94.481937,39.009123,315.206587,14.0036805574041
-94.482393,38.999698,318.3503894,15.0524603957843
-94.482337,38.991246,319.2294499,16.0055161226722
-94.484165,38.982322,315.9961552,17.0269093866754
-94.492945,38.974708,311.5508,18.1736659327025
-94.497565,38.968316,317.9376,19.0160721340407
-94.497607,38.960471,318.6148,20.0063900220137
-94.506492,38.955461,312.5852435,21.0302789578695
-94.508183,38.946998,321.4368566,22.0098932397353
-94.508719,38.938,310.8116,23.0122217622258
-94.507804,38.928563,316.6536,24.0667133883054
-94.509989,38.920306,320.0975766,25.005414453427
-94.516854,38.913017,316.3256,26.0373729856321
-94.525245,38.907215,319.649068,27.0086977078677
-94.532672,38.900603,325.1449594,28.0203430209755
-94.542364,38.898398,314.6324211,29.0276534982703
-94.552493,38.895619,313.7773557,30.0121055296728
-94.566862,38.896207,276.6776,31.2574353609014
-94.574984,38.895075,260.427248,32.0071404070697
-94.581369,38.889437,260.0964811,33.0187751514562
-94.593816,38.890165,271.6882688,34.0992344690085
-94.606573,38.890856,301.5271155,35.2060114301968
-94.608085,38.884314,297.0543552,36.0691097823771
-94.611935,38.877008,291.7372,37.0053690627511
-94.6119226,38.86787329,269.5775008,38.0286279505698
-94.611915,38.859101,265.2113416,39.0050349458591
-94.611932,38.848556,270.0448,40.1775979180549
-94.61412,38.84152,268.135296,41.0039963097502
-94.625363,38.840211,277,42.0202774376206
-94.63934,38.840225,302.30456,43.2400531620653
-94.648907,38.840179,306.7979851,44.0686685827735
-94.660281,38.840142,312.4723299,45.0633623307442
-94.67274,38.840168,319,46.1424915121811
-94.682704,38.840137,325.9963878,47.0057127141809
-94.69418,38.840239,323.0547008,48.0002634145967
-94.708546,38.84018,315.1518912,49.2450439006627
-94.723581,38.840244,316.9048,50.5472427548533
-94.70509,38.84017,319.494864,52.1487603833648
-94.705272,38.84017,320.0426112,52.1645233228069
-94.723581,38.840244,316.9048,53.7502843228178
-94.70509,38.84017,319.494864,55.3518019513294
-94.705272,38.84017,320.0426112,55.3675648907714
-94.714713,38.840191,319.3248566,56.1852502362677
-94.725922,38.840248,325.3616,57.1560813329252
-94.736755,38.840147,317.7918856,58.0948952102109
-94.742474,38.833731,306.1239955,59.3464017809357
-94.742517,38.826739,323.28,60.123885767642
-94.742455,38.816191,327.4713912,61.2967869724754
-94.744737,38.810897,327.8528131,62.090708566121
-94.760002,38.810961,327.0072,63.4133825755566
-94.767491,38.811206,332.6694678,64.0629967499805
-94.779459,38.810947,330.2061579,65.1015195441714
-94.797293,38.811001,342.2072,66.6472657796551
-94.801854,38.811085,339.0306064,67.0426117065723
-94.813084,38.811097,334.0971981,68.0156537207577
-94.824339,38.8115,332.67592,69.0225313609153
-94.836672,38.811,326.61536,70.0965944811555
-94.848125,38.810862,328.6032,71.0894114046224
-94.85991,38.810984,319.3093376,72.1109363372645
-94.870661,38.810967,328.5246635,73.042471495716
-94.883027,38.811244,327.0432,74.1158935282855
-94.893295,38.812107,317.138,75.0141646968072
-94.903224,38.81358,320.4026496,76.0233689326282
-94.914189,38.810996,325,77.041994006412
-94.925824,38.811,329.58656,78.050186919775
