ER1,ER2,ER3,ER4
-107.583669,42.463193,1883.808484,136.051389948368
-107.583761,42.463221,1884.353414,136.059553698857
-107.594952,42.467261,1879.975877,137.089493149825
-107.606834,42.473992,1884,138.320990793283
-107.614178,42.477616,1888.4584,139.045728347244
-107.625572,42.480461,1889.960952,140.034858430558
-107.639364,42.482142,1889.9992,141.181322453062
-107.649449,42.483325,1896.03,142.018792182579
-107.663423,42.483915,1903.353143,143.166610758763
-107.676485,42.484603,1908.114297,144.240503529496
-107.687804,42.485256,1919.070999,145.171512480164
-107.700969,42.486019,1924.015507,146.254380015031
-107.721831,42.487008,1910.685042,147.968644259962
-107.737967,42.487677,1914,149.293855022221
-107.740129,42.487763,1913.4292,149.471391559161
-107.747891,42.488092,1913.5924,150.108905314637
-107.761318,42.488642,1918.7448,151.211577240723
-107.774444,42.489189,1922.0788,152.289579329851
-107.784755,42.489623,1924,153.136419830998
-107.802109,42.490339,1924.054235,154.561581590662
-107.809823,42.491478,1925.3628,155.208428033784
-107.82012,42.493419,1927.483571,156.079861221999
-107.83978,42.497227,1936.951978,157.746460358855
-107.851777,42.499506,1930.2216,158.762139549349
-107.862027,42.501473,1934.089992,159.630442295157
-107.875636,42.504062,1934.2896,160.782624814037
-107.893412,42.507504,1934.2832,162.289218346526
-107.894049,42.507627,1935.5428,162.343195744291
-107.903833,42.509458,1945.711019,163.170632710604
-107.914655,42.510645,1932.244076,164.067466468296
-107.935032,42.512888,1952.930511,165.756210366614
-107.950099,42.513869,1955.330882,166.996152904005
-107.957485,42.514306,1962.972914,167.603478869185
-107.963406,42.51466,1961.4856,168.09037263961
-107.974735,42.515321,1970.7524,169.021823003421
-108.00064,42.516875,1972.924,171.152031640752
-108.007685,42.517258,1960.496181,171.731002083091
-108.011227,42.517697,1956.121322,172.025894294895
-108.032584,42.521643,1978.770164,173.830559055747
-108.039721,42.522879,1982.9024,174.431383025824
-108.048675,42.52448,1995.99656,175.186453617301
-108.072383,42.530422,1998.435887,177.239788541907
-108.090853,42.535287,1994.035551,178.846968739348
-108.101837,42.538185,1992.9208,179.80287693562
-108.102285,42.5383,1991.68112,179.841745852473
-108.114071,42.541399,2008.048936,180.867007947466
-108.122592,42.5436,2034.615296,181.606755491831
-108.128167,42.544389,2040.438641,182.072309073451
-108.148028,42.54305,2021.141184,183.708338554623
-108.166014,42.541561,2014.1412,185.191153029909
-108.169011,42.541326,2008.099525,185.438075222346
-108.176743,42.541078,2003.205644,186.074732337556
-108.187963,42.542945,1997.068214,187.017173788265
-108.207624,42.542271,2012.983188,188.643578210155
-108.213252,42.541763,2015.2928,189.108107139747
-108.224296,42.545465,2014.477786,190.148886310748
-108.234573,42.552877,2012.6428,191.327019987884
-108.241558,42.557885,2026.462997,192.125414787579
-108.251198,42.566053,2023.065438,193.329666766657
-108.26014,42.573942,2032.721965,194.472343614756
-108.267494,42.580438,2046.567659,195.412736983233
-108.27469,42.584369,2051.715011,196.15165995175
-108.285001,42.585701,2059.048915,197.016815184661
-108.297061,42.583371,2026.176996,198.040216659978
-108.308402,42.584933,1988.4884,199.035059911741
-108.312135,42.593386,1955.684466,200.054225206863
-108.318347,42.602185,1901.738978,201.163987852669
-108.323449,42.608991,1876.253606,202.030043162569
-108.320456,42.617853,1845.472255,203.080282819688
-108.323738,42.625857,1795.5432,204.089856103664
-108.332864,42.63149,1766.425658,205.064419105625
-108.343338,42.637954,1726.258142,206.182841079241
-108.349625,42.643992,1709.65,207.032505973411
-108.356578,42.652037,1745.240843,208.092611466122
