GR1,GR2,GR3,GR4
-111.29753,42.322979,1827.94047,0
-111.297785,42.33214,1820.093696,1.04171227595956
-111.297574,42.342271,1816.04402,2.16838329697294
-111.2998,42.350038,1826.8568,3.06070139043606
-111.304901,42.357789,1822.289999,4.01915625407395
-111.310604,42.366374,1821.8792,5.08264946178719
-111.315169,42.374718,1825.990752,6.08472835150024
-111.320329,42.386098,1841.6312,7.41923022914308
-111.322645,42.391199,1842.6836,8.01747852274841
-111.3267,42.400165,1840.35728,9.06862471882849
-111.330906,42.40949,1847.0664,10.1615207709666
-111.334838,42.41816,1852.739917,11.1782027275425
-111.339876,42.429275,1845.9436,12.4814989543369
-111.342055,42.433963,1844.708186,13.0326389760608
-111.347424,42.44223,1850.2736,14.0533811321064
-111.358232,42.454367,1841,15.6683407494865
-111.360577,42.456976,1840.74077,16.0164622168147
-111.364761,42.465458,1833.950972,17.025095767416
-111.369473,42.474627,1832.93244,18.11900093845
-111.374282,42.481786,1845.09603,19.0074030925985
-111.380489,42.489655,1841.9976,20.0283873793559
-111.388228,42.495915,1826.3792,21.0276953934141
-111.392513,42.507227,1836.8892,22.3336670484657
-111.394998,42.513792,1851.339089,23.0915547644089
-111.401251,42.521662,1892.503842,24.1123220183905
-111.40525,42.529314,1911.77736,25.0320559632038
-111.414341,42.534852,1891.225585,26.0012205544176
-111.422881,42.542234,1861.414,27.0970620175661
-111.432132,42.547427,1867.2628,28.0498716566156
-111.442021,42.552979,1854.7244,29.0684250472033
-111.451465,42.558287,1846.8332,30.041467544632
-111.460827,42.563563,1838.8496,31.0069786706053
-111.470947,42.569205,1824.862,32.0464534656526
-111.478383,42.576125,1818.13212,33.0408979141664
-111.481127,42.585416,1823.852337,34.0998130403911
-111.486387,42.592583,1810.418032,35.016798558504
-111.494775,42.601031,1807.484796,36.1804371152754
-111.501307,42.607624,1810.163201,37.0878003761264
-111.508744,42.615238,1808.1864,38.1305587133103
-111.516529,42.623075,1827.670908,39.2100213442009
-111.522491,42.629016,1829,40.0312426386531
-111.530547,42.63566,1833.0308,41.0323902749714
-111.542228,42.638724,1824.5936,42.046951496247
-111.554041,42.641779,1810.721849,43.0711972233808
-111.565387,42.644703,1792.634009,44.0545915252601
-111.576279,42.647762,1782.9432,45.0085505110886
-111.58465,42.653977,1775.917528,46.0063761818761
-111.59783,42.654631,1762.188,47.0974826255454
-111.609871,42.654683,1758.863227,48.0822991024343
-111.620712,42.656603,1755.334,49.0036276131243
-111.6325,42.659691,1748,50.0269700498216
-111.644944,42.660975,1751,51.0911037386846
-111.656011,42.658038,1749.9368,52.0538894453701
-111.667614,42.656462,1744.696748,53.0188655203105
-111.680729,42.654473,1747.6244,54.1144742423048
-111.692287,42.652867,1746.479496,55.0764649334894
-111.706107,42.650419,1747.0148,56.2400810651406
-111.716641,42.648983,1745.4148,57.1183450486949
-111.728364,42.648929,1732.984058,58.0772959585464
-111.742143,42.649043,1740.873029,59.204334021122
-111.752959,42.649081,1734.5488,60.0889392021016
-111.764123,42.649115,1728.186,61.0020165467969
-111.776835,42.649158,1712.9688,62.0417092881745
-111.793017,42.64922,1702.085501,63.3652081053203
-111.805624,42.649261,1693.3396,64.3962886308919
-111.815529,42.649296,1686.578911,65.2064004539049
-111.826081,42.649336,1686,66.0694291170669
-111.837996,42.649659,1679.276397,67.0448558232816
-111.850744,42.649921,1672.485463,68.0883037157589
-111.862846,42.64991,1668.324,69.0780702678744
-111.876276,42.649891,1668.246929,70.1764489884785
-111.887106,42.649413,1672.952637,71.0653465412152
-111.898645,42.646256,1717.388765,72.0780551716271
-111.907841,42.641027,1756.855883,73.0363973452056
-111.9152,42.634151,1804.279392,74.0207161897358
-111.920585,42.626225,1857.37438,75.0134330868518
-111.931627,42.620803,1812.726419,76.1448174098685
-111.943322,42.620236,1759.733864,77.1109313994548
-111.954161,42.618711,1741.007336,78.0157832966869
-111.966436,42.618728,1681.901768,79.0204661824068
-111.979116,42.616697,1637.565918,80.0866660753205
-111.990061,42.621831,1571.936631,81.165357000322
-111.999568,42.62143,1549.84343,82.0320216913065
-112.010831,42.621573,1537.654303,83.0493829194173
-112.022207,42.624087,1524.6208,84.0234162826219
-112.034373,42.623681,1516.438488,85.0343775215156
-112.045495,42.619939,1513.388127,86.03549366982
-112.056702,42.616235,1513.816069,87.0420531196174
-112.069233,42.616502,1528.141561,88.0704575769555
-112.081033,42.617131,1509.169146,89.038653963735
-112.094831,42.619132,1518.5164,90.1895697791646
-112.10493,42.620619,1506.7952,91.0323084144654
-112.116653,42.622813,1506.19,92.0249501384502
-112.12776,42.626874,1494.905939,93.0471936714905
-112.138057,42.630813,1480.565619,94.0338631145216
-112.149702,42.628076,1472.994642,95.0360185988285
-112.162181,42.627028,1462.705361,96.0658984724445
-112.172349,42.629743,1463.081323,97.0223664745549
-112.173965,42.638741,1463.838522,98.0365580110349
-112.180441,42.646574,1453.607953,99.0599999049337
-112.186033,42.65402,1448.0344,100.007132574481
-112.194018,42.660576,1450.648191,101.023969394623
-112.194149,42.669068,1447.9012,102.024435652337
-112.199173,42.677204,1446.846,103.042935439112
-112.202077,42.687697,1448.9412,104.234365437303
-112.203607,42.695711,1441.5892,105.134308206642
-112.205516,42.705555,1447.853885,106.240010596214
-112.207588,42.713891,1417.3588,107.199454559439
-112.207272,42.721776,1420.143867,108.076610744085
-112.209587,42.731356,1407.483674,109.163349168987
-112.213856,42.739152,1403.124652,110.108133570593
-112.215523,42.747111,1406.7168,111.007968547714
-112.215334,42.756948,1396.7848,112.106909942829
-112.219184,42.764505,1404.276006,113.027650859741
-112.223149,42.773242,1393.549792,114.053624741601
-112.223656,42.781824,1382.5664,115.011148308261
-112.232807,42.786545,1391.874878,116.004610249364
-112.245369,42.790901,1376.572,117.138849797895
-112.254944,42.794594,1379.5384,118.027451947692
-112.268401,42.79895,1386.4164,119.258829419145
-112.277883,42.799635,1402,120.039198690155
-112.290305,42.798721,1406.2976,121.057899945056
-112.302196,42.797811,1411.03649,122.033555808886
-112.313923,42.795948,1374.949308,123.012576096263
-112.326692,42.796582,1373.3904,124.064957690293
-112.338672,42.795992,1370.4288,125.044779492828
-112.351133,42.795411,1368.558192,126.063578980885
-112.362451,42.797078,1367.908413,127.015819646983
-112.367779,42.805427,1393.002364,128.073353906119
-112.375652,42.812719,1397.937868,129.107755740484
-112.383011,42.818827,1394.7772,130.015345075173
-112.392153,42.825155,1385.889854,131.040761547368
-112.400831,42.831886,1381.2104,132.071583907842
-112.411662,42.829637,1368.13,133.030326564688
-112.419004,42.826918,1362.924,134.023742354047
-112.426647,42.834109,1371.2076,135.037731101318
-112.428739,42.842487,1356.701547,136.004782699671
-112.435879,42.849733,1360.889979,137.008844343292
-112.443995,42.856378,1362,138.001226468303
-112.452383,42.863624,1363.019544,139.058018954648
-112.45262,42.864748,1361.94729,139.232571815321
