DR1,DR2,DR3,DR4
-106.013457,42.849204,1541.8656,288.09396437048
-106.024107,42.854417,1540.9828,289.137870002036
-106.033693,42.859105,1545.326646,290.077200571128
-106.0481,42.859883,1541.513808,291.287957801402
-106.058007,42.858725,1561.82,292.105673950152
-106.072893,42.856968,1546.295625,293.334676467027
-106.081265,42.855981,1536.259494,294.02591266818
-106.094614,42.854399,1541.8804,295.128238224338
-106.105918,42.853312,1550.1536,296.058702144867
-106.125276,42.855241,1563.994447,297.651551486173
-106.131603,42.855918,1560.15934,298.172826214928
-106.141768,42.855524,1557.3648,299.006778400907
-106.160458,42.853389,1562.4484,300.548691155291
-106.166137,42.852722,1561.3084,301.017547305612
-106.176818,42.848588,1548.4552,302.013760338887
-106.187899,42.843808,1551.83668,303.064688193596
-106.199169,42.843993,1552.996852,304.009529515967
-106.209593,42.849179,1555.9556,305.038840763219
-106.220694,42.852889,1561.199559,306.033541694537
-106.23235,42.854505,1560.35972,307.002747126753
-106.245734,42.855956,1561.483368,308.105654250912
-106.256699,42.857147,1557.472079,309.009210283782
-106.270578,42.857301,1569.2836,310.152120523863
-106.28089,42.856202,1567.1416,311.00469039508
-106.293514,42.854782,1565.7848,312.046583067089
-106.306509,42.853173,1566.5868,313.124688047373
-106.316666,42.850095,1563.684,314.025592478614
-106.329971,42.850092,1560,315.110267265171
-106.337218,42.851326,1561.777041,316.094785078053
-106.333148,42.858338,1559.005591,317.017614128811
-106.338548,42.864062,1593.160791,318.040929583432
-106.337924,42.867587,1622.550537,318.603111813751
