ALR1,ALR2,ALR3,ALR4
-95.676469,39.037025,280.086836,0
-95.682857,39.041308,289.7088,1.04048269759644
-95.680319,39.05016,291.0665216,2.05964238147972
-95.676683,39.05862,281.9698816,3.05222333617852
-95.672009,39.069481,271.6665838,4.32569184815953
-95.66905,39.076378,272.602736,5.13430125256659
-95.665758,39.084007,273.1477142,6.02894759469689
-95.661399,39.091043,274.7637253,7.00005705150291
-95.64704,39.091008,268.7564928,8.23941555505649
-95.63599,39.091054,273.7047584,9.19308298554787
-95.626468,39.091132,273.4352,10.0150297513782
-95.615278,39.093239,293.3581434,11.012285159904
-95.603593,39.093152,294.6292,12.0247645246134
-95.593118,39.089871,272.0219971,13.0022083243955
-95.581717,39.088273,268.5402434,14.0024208944903
-95.569253,39.087658,269,15.0819201495774
-95.557723,39.087489,268.8184182,16.0772258894663
-95.54632,39.087239,269.3084,17.061853060663
-95.53428,39.087095,268.542272,18.1012352962406
-95.523496,39.087577,271.4172,19.0355515055994
-95.511327,39.087703,269.0464,20.0865028858751
-95.49993,39.087665,283.914312,21.0701588876814
-95.488139,39.087049,273.7528,22.0930654582075
-95.476735,39.086704,269.1674624,23.0834612449838
-95.464558,39.086967,263.1292054,24.1349390880326
-95.437508,39.087239,261.9396,26.4709978821432
-95.430501,39.087239,262.1845374,27.0757583194355
-95.428453,39.087244,260.4908,27.2525180538018
-95.419099,39.087243,259.7180426,28.0598434177171
-95.409183,39.084031,262.8824,29.0027389477276
-95.398464,39.080685,259.9680128,30.0195447041514
-95.386536,39.08032,261,31.0524432316993
-95.381993,39.072988,260.9741114,32.1404094845459
-95.38196,39.064916,260.0390656,33.0379979680581
-95.383789,39.056053,260.1339717,34.0434547939033
-95.388823,39.047323,267.2510877,35.1126330649441
-95.391149,39.039371,273.4092,36.0223196404644
-95.391245,39.030476,301.2891552,37.0116185257528
-95.391406,39.017264,306.8496,38.4808102103308
-95.391405,39.011943,295.0156,39.0724869565359
-95.391332,39.003588,310.3364787,40.0015949248575
-95.391266,38.994435,331.4745584,41.0691810662306
-95.399684,38.995075,341.200896,42.006850989643
-95.409418,38.998192,344.9515622,43.0126349058949
-95.420977,39.00026,338.6439008,44.0587275811562
-95.434879,39.000456,344.2812,45.261088555306
-95.443066,39.002385,337.6171328,46.013995432974
-95.455117,39.005809,337.1244971,47.1252301348434
-95.464874,39.008074,337.5864,48.010468138537
-95.476167,39.011155,343.2126104,49.0446656973571
-95.489827,39.013502,341.77,50.2569765743564
-95.498272,39.014569,326.9814067,51.0160430840833
-95.501342,39.023562,334.1618438,52.0912781991639
-95.506334,39.029452,333,53.0051612169779
-95.519984,39.029426,318.9473754,54.1842359169402
-95.528909,39.03077,307.8386928,55.0134923281413
-95.534768,39.038119,303.0376403,56.0111344606669
-95.542538,39.044124,272.231575,57.0101850558114
-95.554473,39.04424,293.8116608,58.0410666569861
-95.56642,39.044322,288.8386304,59.0733008418358
-95.577441,39.04423,278.6476,60.0253767694714
-95.58881,39.044261,282.1507536,61.0072184643373
-95.600811,39.044298,289.4588131,62.0436685844777
-95.612288,39.044288,291.1104,63.0349398516909
-95.623421,39.044274,293.8977043,64.0096538064344
-95.63502,39.044247,274.928,65.0114862938069
-95.646775,39.044785,277.75386,66.0360500908522
-95.657801,39.047662,271.8545334,67.0405441830149
-95.665517,39.043693,272.7461182,68.0158364220728
-95.67086,39.037042,275.8122304,69.010305397992
-95.675887,39.038337,273.6029502,69.4680589425084
