BR1,BR2,BR3,BR4
-96.103659,39.207964,292.382423,49.257268460608
-96.113268,39.21236,296.496,50.2186947103872
-96.121435,39.216102,296.2718448,51.0361700149077
-96.137616,39.216674,296.5713754,52.4420133684732
-96.147334,39.216583,295.1212029,53.2792753134926
-96.158464,39.216478,294.1509043,54.238192801017
-96.172041,39.216353,290.7816,55.4079316730571
-96.179328,39.215767,295.4192,56.0453791360104
-96.190461,39.215741,296.099949,57.0050009623129
-96.201469,39.217299,296.8033138,58.0077398620639
-96.215757,39.216845,296.7252,59.2457897732905
-96.224437,39.215479,300.6708,60.0101972932207
-96.236221,39.213227,290.2411286,61.0558559512693
-96.247759,39.211084,297.03,62.0780761140326
-96.258594,39.209343,300.0616,63.0319137954946
-96.269963,39.209417,299.9143602,64.013661300503
-96.283311,39.20988,301.6484,65.1654265705444
-96.293291,39.209977,301.7774187,66.0253496127886
-96.304662,39.210037,305.7465667,67.0051468183483
-96.306784,39.218344,323.1773798,68.0182043959062
-96.313073,39.226291,322.6476,69.0547884110548
-96.31446,39.235781,319,70.1280710739252
-96.314647,39.244285,320.3106392,71.0738178515228
-96.314621,39.253514,308.5259885,72.1000609512073
-96.314554,39.261817,309.4588,73.023347843884
-96.318409,39.27093,318.0947952,74.1282768497146
-96.324826,39.279465,332.3268,75.2263791247229
-96.330166,39.286596,344.6999706,76.1429138536168
-96.336252,39.294752,321.5072,77.1902000646261
-96.342106,39.302513,333.3911811,78.1894775385084
-96.348376,39.310911,327,79.2679265783967
-96.353187,39.317292,332.6299322,80.0893782061959
-96.359949,39.324244,355.5891142,81.065475514397
-96.366854,39.332195,364.7720912,82.1577959887025
-96.371438,39.338897,360.6807626,83.0077999962649
-96.378294,39.346637,381.6599229,84.051085203666
-96.382715,39.354711,404.9687304,85.0347809517396
-96.386124,39.363449,390.9613581,86.0496753680405
-96.389949,39.371526,402,87.0108659942013
-96.399557,39.377813,386.468,88.0946009784081
-96.406633,39.383675,350.055752,89.0043110189551
-96.407633,39.392962,356.3368,90.0472983823779
-96.407602,39.402002,378,91.052836328794
-96.407586,39.411178,377.6192,92.0731722266912
-96.407535,39.41988,375.506432,93.0408088398143
-96.407469,39.428616,385.9079642,94.0122291271512
-96.407472,39.438869,394.5968,95.1523244442901
-96.40752,39.447794,409.1397952,96.1447491260097
-96.407549,39.45757,423.2407472,97.2318105623464
-96.407528,39.464867,421.989863,98.0432028692443
-96.407518,39.474439,439.8252,99.1078732790995
-96.407498,39.483767,456.9968406,100.145103457796
-96.407449,39.493013,455.4618725,101.173229807032
-96.407371,39.50062,468.5890592,102.019123047137
-96.407305,39.50972,456.599232,103.031013590334
-96.407279,39.519904,457.2456,104.163427615635
-96.407167,39.528235,446.3187752,105.089847580494
-96.407093,39.536887,441.9963933,106.051940488121
-96.40708,39.549289,409.5254304,107.430994200975
-96.40713,39.555016,414,108.067826405689
-96.407278,39.564469,414.6224,109.119052116137
-96.407627,39.579508,401.4572,110.791580432029
-96.407705,39.582324,393.8956,111.104777949964
-96.407921,39.592784,377.5068,112.268109515686
-96.407853,39.599369,391.4186986,113.000360055832
-96.407818,39.609682,386.1867341,114.147132054306
-96.407888,39.618082,388.508,115.081192964025
-96.407917,39.627805,379.2560824,116.162347720025
-96.407927,39.63603,404.1925248,117.077001030152
-96.414702,39.64252,403.0780416,118.045625840729
-96.417385,39.653137,380.8790152,119.29822452741
-96.41734,39.660639,361.9012,120.132446459702
-96.417292,39.673843,368.2057018,121.600677342703
-96.417181,39.680824,383,122.376988935623
-96.417093,39.68736,371.008,123.103798164797
-96.418617,39.695873,346.0121179,124.063990847305
-96.422406,39.702283,350.1044,125.08664570238
-96.433017,39.700825,346.8312,126.05454944028
-96.440173,39.694313,347.6250179,127.002816205734
-96.453032,39.68667,352.0848,128.394713169934
-96.458751,39.683432,352,129.002286193343
-96.473102,39.68204,364.656,130.262132768205
-96.482525,39.682044,354.616112,131.068511626428
-96.494239,39.682048,374.8118458,132.0709444309
-96.5084,39.682055,389.91104,133.282785378004
-96.51886,39.682052,408,134.177905907998
-96.534304,39.682058,393.2133107,135.499535562004
-96.543259,39.682059,391.4648,136.265864760934
-96.558023,39.682065,396.6188,137.529302700007
-96.567299,39.68207,411.3965328,138.323101726194
-96.581064,39.682056,401.7618227,139.501050320779
-96.591057,39.682134,378.7072,140.356252466473
-96.600455,39.682224,362.0708832,141.160552478998
-96.611124,39.682302,358.4949261,142.073602212417
-96.62232,39.682716,348.7776,143.036446109926
-96.632265,39.68813,350.031456,144.08375817598
-96.638134,39.694911,379.3204,145.084517760664
-96.643701,39.702474,377.063311,146.051499409024
-96.647352,39.711387,390.0588,147.118206148448
-96.647384,39.720202,394,148.098396749977
-96.647437,39.728505,407.0716,149.021661356489
-96.647491,39.740343,416.0400075,150.338014542735
-96.647502,39.747576,417.0767398,151.142320676959
-96.647573,39.758884,408.5608,152.399727593443
-96.647609,39.769289,414,153.556714896971
-96.647624,39.774666,395.7072486,154.154611391877
-96.647568,39.78232,367.4032,155.006212920254
-96.644474,39.794566,379.7406394,156.393816562167
-96.643585,39.800602,396.5016,157.071396272134
-96.644714,39.812509,378.966641,158.398916388385
-96.645244,39.818216,382.2768,159.03515352698
-96.645531,39.827152,362.0884,160.029306476198
-96.645631,39.836793,353.8764763,161.101449790007
-96.649299,39.842172,353.5236,162.009806391976
-96.660929,39.84202,349.2899232,163.003108714574
-96.672603,39.84213,379.3668,164.000623908063
-96.685583,39.842434,388.1388,165.110496288282
-96.703175,39.842499,390.994348,166.612608728961
-96.711501,39.842512,391.6396,167.323454131076
-96.720823,39.842516,398.8722854,168.119334017779
-96.731355,39.842522,396.5377248,169.018523072513
-96.744994,39.842522,400.8649107,170.182974020036
-96.754628,39.842517,412.040441,171.0055017986
-96.768239,39.842517,430.5992,172.1675677549
-96.778374,39.842514,422.1008,173.032860413873
-96.790021,39.842545,423.2253528,174.027260805936
-96.803307,39.842464,427.9529139,175.161637041704
-96.813209,39.842413,419.8327766,176.007076027778
-96.826036,39.842314,429.8277402,177.10226363885
-96.837771,39.842261,429.0244,178.104177648154
-96.8482922,39.84225575,415.7312205,179.003008463493
-96.86023923,39.84225373,415.3402596,180.023006662185
-96.862386,39.849325,414.0196,181.000253777579
-96.862374,39.858925,387.512568,182.06776140605
-96.862347,39.868383,375.3576,183.119667249446
-96.862336,39.87882,392.7863808,184.280209936005
-96.862324,39.885526,375.74,185.025885810315
-96.862292,39.896546,387.5024,186.251265971452
-96.862346,39.903488,401.7518899,187.023291742136
-96.862578,39.912938,407.4260346,188.074294984677
-96.862612,39.922564,426.0368,189.144690778387
-96.862543,39.931506,417.6008637,190.139021926963
-96.862531,39.940606,407.8884,191.150935848036
-96.862427,39.949325,400.2628,192.12050671825
-96.862342,39.958097,403.4312,193.096075173539
-96.86228,39.969642,419.4224,194.379841912097
-96.862286,39.975733,422.0006685,195.057136827107
-96.862267,39.984649,424.3060923,196.04856513765
-96.862301,39.99458,430.7716,197.152854354894
