HR1,HR2,HR3,HR4
-112.452995,42.865701,1359.7348,0
-112.461062,42.871164,1362,1.00284018970678
-112.469075,42.878033,1356.5788,2.00778891481728
-112.477004,42.884927,1353.2144,3.02077159470777
-112.478961,42.893028,1354.455048,4.02751672069619
-112.495722,42.900178,1351.4008,5.61004678194739
-112.500536,42.902109,1349.634105,6.05711286048863
-112.510927,42.906309,1341.3372,7.02385147015244
-112.522097,42.909844,1351.925569,8.0184063841125
-112.533941,42.910269,1359.181672,9.0280126286215
-112.547058,42.907264,1362,10.1477634409703
-112.558475,42.904616,1354.697376,11.1232343312818
-112.569202,42.902118,1353.6248,12.0401078411976
-112.582076,42.899118,1364.215425,13.1405320144699
-112.592995,42.89632,1359.218,14.0838014255661
-112.605224,42.893448,1354.526482,15.1299343720545
-112.616955,42.890694,1352.015861,16.1334760807935
-112.627367,42.888596,1348.547247,17.0149969102701
-112.639373,42.885801,1348.1408,18.0413390460397
-112.654073,42.881991,1350.6648,19.3127626527084
-112.667886,42.877924,1349.405315,20.5257403054245
-112.673922,42.876126,1350.0536,21.0566687077905
-112.685988,42.872522,1347.955901,22.1184946944728
-112.69496,42.871907,1349.7304,23.0335354726594
-112.703989,42.869032,1345.4848,24.1274476289244
-112.71369,42.863988,1343.817331,25.1009856867756
-112.724041,42.860477,1345.2828,26.0306106832021
-112.737547,42.855853,1347,27.2456442112583
-112.746434,42.852781,1346,28.0465813340064
-112.759066,42.848436,1344.6304,29.184054869976
-112.767568,42.844072,1345.502172,30.0372028370465
-112.771131,42.83572,1346.970787,31.1013149296469
-112.771102,42.828172,1346.8437,32.0700469074575
-112.774236,42.819713,1338.592113,33.0613571628665
-112.782876,42.813928,1347.231813,34.0515878882753
-112.794183,42.809055,1351,35.1221535037701
-112.803483,42.805005,1346.036,36.0046002309631
-112.814977,42.800037,1340.784,37.0931083140703
-112.823877,42.795054,1351.81392,38.0082484246844
-112.834559,42.791536,1348,39.0577601052963
-112.844554,42.786518,1347.2112,40.0465899410145
-112.854604,42.784433,1343.4668,41.0494438711458
-112.859101,42.77649,1345.9644,42.0462946616266
-112.861766,42.767989,1349.665438,43.0373061597187
-112.868071,42.760441,1349.3568,44.0284160355619
-112.876194,42.753281,1345.6232,45.064671726153
-112.883092,42.74713,1344.4632,46.042673172773
-112.891281,42.740974,1346.3884,47.0008574165498
-112.900769,42.734316,1335.6188,48.0726581899874
-112.90852,42.727608,1333.416653,49.0565921039675
-112.917464,42.721882,1329.896668,50.0261562022091
-112.925496,42.715591,1338.414885,51.0201743471209
-112.93155,42.708147,1336.778128,52.0760667627284
-112.941818,42.70348,1337.472,53.0634042044998
-112.951959,42.699257,1330.2728,54.0160035496211
-112.961584,42.693715,1323.339098,55.0180723095391
-112.970567,42.687371,1315.063267,56.0364154814496
-112.979828,42.680852,1310.4848,57.0845921204257
-112.988136,42.674009,1291.2856,58.1053184639775
-112.991733,42.668375,1296.29404,59.039402817953
-112.99261,42.660442,1329.357085,60.0095899704771
-113.003131,42.655474,1320,61.0593429610627
-113.013425,42.653088,1299.513488,62.0006243695646
-113.023444,42.649274,1301,63.0634731851128
-113.032904,42.644817,1292.414159,64.027056726861
-113.043241,42.63971,1299.088,65.1115943985392
-113.053266,42.636476,1294.9288,66.0070679091228
-113.064867,42.63273,1302.733154,67.0435595136907
-113.07617,42.629698,1300.149427,68.0281772504757
-113.087006,42.625938,1291.462998,69.0089251441505
-113.096774,42.619076,1294.332521,70.1419252234529
-113.107092,42.619707,1300.7504,71.0136528782217
-113.119192,42.619934,1288.0552,72.0183675736905
-113.130454,42.619416,1288.866725,73.0188055645609
-113.138807,42.61413,1306.062286,74.0212833355321
-113.150633,42.612461,1347.1404,75.0211605053993
-113.162551,42.60835,1356.1236,76.0986988881086
-113.17261,42.604606,1348.396086,77.021855983741
