BLR1,BLR2,BLR3,BLR4
-98.373202,40.885432,574.9681971,0
-98.362479,40.887668,571,1.16664702100334
-98.352016,40.887348,570.7104,2.04701835202286
-98.340475,40.887224,568.9936,3.01731946052017
-98.339693,40.878792,565.1052,4.00938611892813
-98.339794,40.869223,568.2584,5.07713276957948
-98.339904,40.860311,571.9217338,6.06826227183632
-98.339919,40.850481,569.7316,7.16137018807249
-98.339931,40.840462,573.9163389,8.27550908078801
-98.340242,40.832718,570.8125178,9.13700982633869
-98.340464,40.824153,572.9670163,10.0896010853429
-98.340269,40.814534,573.3868,11.1598343165805
-98.340396,40.803913,590.3886579,12.3408892986871
-98.340349,40.79221,591.2891184,13.6422787266654
-98.340269,40.785481,589.4316,14.390539799719
-98.340127,40.779148,585.5735238,15.0948397247252
-98.342004,40.77144,591.6410496,16.0105731677441
-98.353801,40.770975,590.8772,17.1064596620411
-98.364736,40.770992,592.6208,18.0273118655457
-98.376526,40.771001,597.11,19.0201619375746
-98.378213,40.785535,585.5347432,20.7770336212908
-98.378238,40.792488,577.6716262,21.5501748110334
-98.378248,40.79811,579.4722112,22.1753138892506
-98.37827,40.80561,579.032,23.0092960886468
-98.378285,40.814978,577.6951616,24.0509964391587
-98.378289,40.823606,578.6837366,25.0104463426233
-98.378364,40.833901,573.8556269,26.1552575809796
-98.378423,40.842025,576.196388,27.0586188329975
-98.378362,40.851045,571.9213616,28.0616197483566
-98.378262,40.861028,570.6400691,29.1717268935054
-98.37807,40.869639,572.3516,30.1293649918013
-98.378037,40.879008,574,31.1712210093603
-98.37818,40.887613,572,32.1281445466721
-98.373339,40.885433,576.3800019,32.8694443836552
