FR1,FR2,FR3,FR4
-108.745861,42.841584,1632.565559,0
-108.740019,42.835012,1634.0432,1.03645155889816
-108.727419,42.832337,1630.7084,2.10616337734459
-108.719053,42.826676,1658.0672,3.06003679314429
-108.713671,42.819067,1652.353843,4.03071578193867
-108.705105,42.811846,1639.3308,5.09531959353254
-108.697628,42.805824,1630.0112,6.00194965721263
-108.685448,42.799869,1632.31,7.1966496675725
-108.678524,42.794349,1624.244706,8.03717158251681
-108.670466,42.785936,1647.761682,9.18072928963554
-108.663907,42.779222,1640.350188,10.0994257363583
-108.657628,42.772237,1652.003485,11.0308175164069
-108.653197,42.762249,1663.363713,12.2042659172018
-108.651915,42.7549,1652.33032,13.0281815003204
-108.648917,42.742048,1687.410527,14.4781917020936
-108.647737,42.736924,1687.158004,15.0560465424003
-108.646639,42.728346,1693.895858,16.0164099408062
-108.644633,42.71753,1684.6788,17.2370830680882
-108.641559,42.704369,1716.6592,18.7219593425119
-108.640662,42.701325,1723.368264,19.0687434073763
-108.636018,42.693383,1758.149799,20.0302253513896
-108.628768,42.682749,1801.278287,21.3528570110276
-108.623881,42.676207,1837.318393,22.1830330091495
-108.618738,42.669051,1843.845788,23.0838490028497
-108.608117,42.660413,1841.4688,24.379578390499
-108.60238,42.655511,1838.639014,25.0987444886465
-108.60294,42.648395,1836.489648,26.0144696373029
-108.607096,42.639058,1886.7264,27.1407459065592
-108.607955,42.631081,1931.290359,28.0368626611087
-108.613817,42.623626,1981.496272,29.0092414388676
-108.607589,42.615952,2036.441574,30.0615022421924
-108.610169,42.607736,2109.626,31.0678099087977
-108.618178,42.599705,2157.4284,32.1831709717841
-108.62565,42.594961,2151.513864,33.020837379535
-108.637641,42.594662,2168.385648,34.0029532741109
-108.648305,42.590093,2226.655899,35.1123012165038
-108.657709,42.58518,2249.936355,36.100458549404
-108.66876,42.584374,2276.3256,37.029825808457
-108.679161,42.579922,2328.540528,38.0311956561879
-108.692207,42.574507,2403.2312,39.3045809688134
-108.697571,42.568692,2451.22,40.0929806956077
-108.705704,42.562674,2444.797252,41.0492455857254
-108.716855,42.55769,2423.371752,42.1350842886026
-108.725263,42.552057,2469.097513,43.070697539558
-108.733712,42.544544,2529.260342,44.1779676506639
-108.738685,42.537347,2483.165313,45.0759830121693
-108.747599,42.530852,2472.3564,46.1167911615195
-108.756897,42.525574,2482.7912,47.0795161828659
-108.769412,42.519782,2528.08,48.2985620120873
-108.776552,42.515476,2570.888,49.0547368140427
-108.787029,42.509838,2567.230948,50.122888916411
-108.792404,42.502747,2538.061892,51.0386574395655
-108.809956,42.492976,2521.7136,52.8606082720524
-108.814297,42.491067,2514.2132,53.2750272916301
-108.823446,42.487785,2475.13,54.1094585772604
-108.834579,42.484706,2473.629489,55.0910852943694
-108.843146,42.479349,2495.572552,56.0238599275502
-108.850525,42.463752,2458.055792,57.8632855660182
-108.851242,42.462157,2459.0016,58.0501394844865
-108.856694,42.449901,2424.5452,59.484488152162
-108.85879,42.445117,2406.215147,60.0435534218292
-108.863879,42.436207,2392.3808,61.1219406969169
-108.870387,42.426644,2373.8368,62.312636136807
-108.875677,42.417636,2377.4896,63.4044337644609
-108.883901,42.403774,2356.4136,65.0872250742919
-108.885025,42.401822,2354,65.3230836962834
-108.893438,42.388151,2321.439868,66.9928680569156
-108.893816,42.387566,2315.2376,67.0649453705353
-108.898603,42.379756,2272,68.0182578134797
-108.908892,42.372234,2304.0112,69.2273899362328
-108.919297,42.366621,2305.974336,70.2857964571378
-108.928467,42.361747,2290.5188,71.2138945897584
-108.937492,42.357156,2252.558866,72.1144444845585
-108.947184,42.352465,2215.246262,73.0665006571259
-108.95716,42.346416,2198.0976,74.1273511157413
-108.965636,42.341076,2188,75.0427497408131
-108.974091,42.331694,2207.826,76.3017231467398
-108.980377,42.326092,2190.529775,77.112923448467
-108.987776,42.32024,2180.86313,78.003688458389
-108.999631,42.313757,2163.3284,79.2187338319763
-109.012045,42.307562,2172,80.4502159934798
-109.019083,42.304063,2159,81.1476083288247
-109.029576,42.298849,2150.8564,82.1872393585989
-109.042541,42.29237,2146.398923,83.4741509552771
-109.048149,42.289568,2142,84.0308033282745
-109.059683,42.283827,2137.7772,85.1743688810779
-109.072083,42.277646,2135.0268,86.4044356565142
-109.082581,42.272391,2135.2916,87.4472735726202
-109.089317,42.269133,2146.5412,88.1095851547439
-109.099495,42.265555,2126.998,89.0372873726758
-109.111442,42.261553,2131.713361,90.1164438265904
-109.124864,42.257079,2124,91.3278866521506
-109.136478,42.252251,2126.1036,92.4259784073626
-109.166725,42.237921,2102.509048,95.3819956693349
