CR1,CR2,CR3,CR4
-100.87468,41.16242,868.984,212.087952081004
-100.886198,41.162428,870.572,213.044007825541
-100.901817,41.16243,872.2275648,214.340483895991
-100.911413,41.162428,873.8907014,215.137047699951
-100.925889,41.16254,872.8848576,216.340451609716
-100.935437,41.162647,875.7990626,217.13471877559
-100.95065,41.162758,878,218.399496451887
-100.961099,41.162758,878.9288,219.267210066017
-100.971703,41.162763,880.0532,220.1479350177
-100.983285,41.162759,881.1622376,221.10983639675
-100.995559,41.162746,884.7712,222.129178852783
-101.007287,41.162726,883.6093315,223.103159614151
-101.019957,41.162709,889.1164715,224.155529169482
-101.0372,41.163317,889.075296,225.596424706267
-101.043858,41.163459,888,226.151557179162
-101.05996,41.163512,892.1614208,227.490276999439
-101.069255,41.163527,897.682,228.262916744505
-101.07915,41.163536,897.7896,229.085389502074
-101.090678,41.162758,897.4408,230.03325080844
-101.103257,41.158769,898,231.027003802855
-101.117291,41.157632,902.7228,232.179472713568
-101.127364,41.156855,902.678,233.00737856277
-101.139832,41.155831,902.0084,234.031589657828
-101.15184,41.154851,904,235.018351923884
-101.163959,41.153915,909.6690744,236.015143729531
-101.177557,41.152857,911.207477,237.133776446361
-101.188101,41.15203,910.0503888,238.00130148543
-101.201393,41.149791,911.2476,239.080931138449
-101.21433,41.146895,914.822,240.123983158573
-101.232598,41.141486,916,241.583427430478
-101.241915,41.138579,918.8844,242.32714026808
-101.251659,41.135709,920,243.107579545485
-101.265505,41.132354,925.4232,244.22552029893
-101.277048,41.130194,922,245.165026102042
-101.288022,41.128139,925.6996,246.058687481735
-101.302765,41.125455,926.046,247.260786844079
-101.316514,41.123678,924.8235437,248.389799363417
-101.324593,41.123777,929.5276,249.06477291767
-101.336863,41.124425,931,250.094853918294
-101.348128,41.124732,936.7483802,251.03770717029
-101.360413,41.123719,938.6758731,252.052702991624
-101.372095,41.121405,934.489436,253.00502218553
-101.384714,41.120455,936.6191152,254.049035757514
-101.396323,41.121206,937.1854275,255.025052438276
-101.408451,41.122132,940.4879853,256.046035205614
-101.42116,41.123491,943.5676,257.119605453154
-101.431859,41.124887,945,258.0257713962
-101.443487,41.126382,945.9862806,259.010402221984
-101.455451,41.127044,948.1349018,260.015107291906
-101.467648,41.126277,948,261.025706109095
-101.479702,41.12563,947.3212896,262.025641643046
-101.49148,41.125079,949.6124,263.003556396995
-101.503653,41.124349,951,264.01290128098
-101.515571,41.126289,955.7159938,265.025604544239
-101.527274,41.128547,962.7807578,266.023335146783
-101.539366,41.128766,957.1574662,267.034612233081
-101.552522,41.128957,958.2646198,268.134459217071
-101.563479,41.129267,958.9737867,269.051873355423
-101.574924,41.129589,962.1044186,270.010138263311
-101.586806,41.12996191,966.5886105,271.005352505615
-101.59941,41.130047,965.4624,272.058229029364
-101.611691,41.129333,965.9124,273.076978661142
-101.6232,41.129675,966.52,274.04083841703
-101.635255,41.130736,970.4856,275.056713075031
-101.64685,41.132187,970.296888,276.037666497786
-101.658404,41.133932,974.9605171,277.017834989045
-101.671373,41.133153,976.3508,278.093470088653
-101.683935,41.130897,974.6244,279.122272280634
-101.695052,41.127696,975.5984,280.022759653714
-101.707934,41.126097,976.9777699,281.084920844182
-101.7212655,41.12448921,978.5558684,282.184856956664
-101.731297,41.123032,981.9152,283.010685053732
-101.74399,41.12099,984.650704,284.05432604526
-101.755527,41.120031,988.1116,285.010451279207
-101.762766,41.163548,1051.431267,286.004145555895
-101.775097,41.163485,1071.295463,287.031717416541
-101.787139,41.16422,1094.949923,288.043044074775
-101.798253,41.171371,1094.243424,289.040627005249
-101.808862,41.179262,1113.220335,290.005312065868
-101.820139,41.188675,1117.654292,291.043820609339
-101.832687,41.191219,1105.738529,292.116187774745
-101.843936,41.191418,1089.848174,293.055202045403
-101.856566,41.192016,1093.2576,294.113518275266
-101.868774,41.192341,1101.487489,295.133780362345
-101.879664,41.192267,1123.966212,296.040050910163
-101.89306,41.19216,1128.788416,297.154763153616
-101.905011,41.192086,1125.47,298.149514723798
-101.916484,41.192004,1123.073411,299.104412682135
-101.927401,41.191929,1121,300.01310983252
-101.939626,41.192454,1134.726164,301.037022812722
-101.950487,41.20325,1131.8936,302.055447322358
-101.964453,41.206806,1092.9968,303.256649266604
-101.974362,41.206813,1093.8236,304.081752015811
-101.984977,41.210735,1133.893022,305.008009545078
-101.996304,41.217746,1139.079439,306.028006451245
-102.007549,41.224202,1150.281162,307.036208423502
-102.019321,41.230849,1162.612,308.091519574563
-102.029632,41.235731,1169.880344,309.00576175967
-102.042359,41.235934,1149,310.066470113479
-102.055239,41.235946,1138.586978,311.137722907629
-102.069484,41.236005,1159.382,312.323097422618
-102.079091,41.236008,1158.2724,313.122140551285
-102.089787,41.237093,1149.3016,314.024197010304
-102.101699,41.247979,1121.70912,315.14172243833
-102.11025,41.264936,1048.20736,316.058535358203
-102.120757,41.289506,1031.7784,317.248149029933
-102.12584,41.313669,1003.8156,318.003449541861
-102.135195,41.329013,1007.5532,319.001092304218
-102.14651,41.333265,1011.246,320.000574866199
-102.158191,41.337844,1012.493512,321.035505291518
-102.169124,41.342059,1012.090255,322.003377065824
-102.181214,41.346682,1014.3704,323.07339496634
-102.198137,41.353071,1014,324.570398964448
-102.208021,41.356725,1014.21,325.443793485861
-102.215816,41.359852,1015.4672,326.136531959665
-102.226979,41.364203,1016,327.126841649366
-102.237251,41.368062,1018.002404,328.03606106155
-102.248957,41.372459,1024.0976,329.072435038541
-102.262012,41.377415,1026.694,330.229368723289
-102.27069,41.380829,1025,331.000506768313
-102.284314,41.385614,1026.2104,332.202185447739
-102.296716,41.389795,1026.1776,333.293463013527
-102.310309,41.394382,1027.575668,334.489814513775
-102.317259,41.396733,1029,335.101674513219
-102.327947,41.400325,1029.896436,336.042339350894
-102.340256,41.402183,1030.1412,337.088259502396
-102.351485,41.402313,1030.3268,338.016692300836
-102.361881,41.410242,1037.327782,339.004977577882
-102.372607,41.418588,1036.948849,340.028918480347
-102.386144,41.420479,1039.606,341.176510163655
-102.395968,41.423786,1039.95397,342.041973995358
-102.418038,41.431218,1040.360481,343.986675104349
-102.420086,41.4319,1042,344.167028944441
-102.433538,41.43678,1045.892614,345.358628089556
-102.441197,41.439108,1044.243897,346.029425696585
-102.452434,41.442832,1047.9576,347.018985946703
-102.463571,41.446564,1049.4052,348.000564780558
-102.475075,41.450365,1048.60122,349.013669963362
-102.488107,41.454748,1051.1852,350.162825991784
-102.498413,41.458208,1052.7132,351.071606364221
-102.509209,41.461823,1055.629429,352.023529529558
-102.520974,41.465767,1056.7612,353.061089600116
-102.531674,41.469623,1055.27806,354.009612107496
-102.543085,41.47341,1061.552,355.015507276002
-102.555348,41.477299,1062.793474,356.09338730181
-102.566509,41.481037,1063.280964,357.078054421393
-102.57752,41.484727,1060.018438,358.049628770571
-102.588557,41.488426,1061.3336,359.023601643232
-102.600954,41.492586,1060.4408,360.117800754378
-102.611117,41.496118,1063.021726,361.01712981364
-102.622082,41.500762,1069.2384,362.002800166015
-102.633208,41.505416,1073.263483,363.002121512513
-102.643973,41.511766,1076.6424,364.003501023246
-102.655493,41.517676,1079.268687,365.059271366456
-102.668922,41.522081,1080.043801,366.243864873623
-102.677973,41.52624,1083.928,367.064762121981
-102.689615,41.532119,1081.385838,368.131015509435
-102.699255,41.537381,1083.753369,369.021795425994
-102.711353,41.544372,1089.641295,370.147743193199
-102.72156,41.551305,1099.314,371.118381158296
-102.731113,41.556445,1093.1952,372.001188673296
-102.748141,41.562253,1081.802718,373.509627295585
-102.756427,41.564889,1084.082375,374.239975424374
-102.77101,41.569476,1088.8864,375.524398055345
-102.778114,41.571651,1089,376.148948724655
-102.789212,41.57512,1087.568,377.126076991937
-102.810792,41.581876,1091.641464,379.02643857643
-102.814182,41.582942,1090.441434,379.325075502316
-102.822898,41.585668,1091.229603,380.092622888697
-102.833826,41.589089,1090.938597,381.055065034864
-102.84422,41.593884,1089.003379,382.001471636656
-102.856015,41.596215,1091.461192,383.013021739389
-102.867412,41.599571,1097.6832,384.012639361487
-102.878635,41.603081,1100.1832,385.001166039087
-102.898975,41.609422,1097.944248,386.792413930759
-102.901684,41.61027,1097.0624,387.031062949623
-102.91405,41.61445,1098.44,388.126764585075
-102.924517,41.617671,1102.283995,389.047797123793
-102.939144,41.621948,1103.8624,390.330348220968
-102.947861,41.624655,1100.638594,391.097941483651
-102.963968,41.629671,1104,392.516620911724
-102.975715,41.633323,1105,393.551195530118
-102.98301,41.63559,1105.732336,394.193675768269
-102.992819,41.638638,1106.962765,395.057584051599
-103.003436,41.642313,1107.447585,396.000467249394
-103.014782,41.647374,1109.7848,397.031724038818
-103.02596,41.651966,1117.2328,398.039711005162
-103.037291,41.657031,1123.388752,399.070255668686
-103.050633,41.663056,1127.7228,400.285281846379
-103.059536,41.667073,1126.4628,401.096169022487
-103.069725,41.671676,1123.167328,402.02448538663
-103.081489,41.677168,1122.46075,403.100317255673
-103.091295,41.683239,1124.0156,404.029284757862
-103.107185,41.670312,1120.893309,405.050617605898
-103.119405,41.670467,1119.41553,406.050700316892
-103.132878,41.670442,1121.082905,407.149358039901
-103.145843,41.670432,1125,408.207019023204
-103.168434,41.670432,1140.605996,410.050622645752
-103.16848,41.670432,1140.679654,410.054377004756
-103.186018,41.670411,1146.989238,411.485452110436
-103.199862,41.670387,1133.694658,412.615116056199
