AR1,AR2,AR3,AR4
-94.417077,39.092185,323.0639448,0
-94.432562,39.073866,295.0640083,3.05352651909228
-94.438959,39.050986,310.391119,6.0852164715464
-94.439928,39.029023,315.1595418,9.0214485153266
-94.46164,39.010505,315.904,12.0028029392062
-94.482393,38.999698,318.3503894,15.0524603957843
-94.492945,38.974708,311.5508,18.1736659327025
-94.506492,38.955461,312.5852435,21.0302789578695
-94.507804,38.928563,316.6536,24.0667133883054
-94.525245,38.907215,319.649068,27.0086977078677
-94.552493,38.895619,313.7773557,30.0121055296728
-94.581369,38.889437,260.0964811,33.0187751514562
-94.606573,38.890856,301.5271155,35.2060114301968
-94.6119226,38.86787329,269.5775008,38.0286279505698
-94.611932,38.848556,270.0448,40.1775979180549
-94.63934,38.840225,302.30456,43.2400531620653
-94.67274,38.840168,319,46.1424915121811
-94.708546,38.84018,315.1518912,49.2450439006627
-94.70509,38.84017,319.494864,52.1487603833648
-94.70509,38.84017,319.494864,55.3518019513294
-94.736755,38.840147,317.7918856,58.0948952102109
-94.742455,38.816191,327.4713912,61.2967869724754
-94.767491,38.811206,332.6694678,64.0629967499805
-94.797293,38.811001,342.2072,66.6472657796551
-94.824339,38.8115,332.67592,69.0225313609153
-94.848125,38.810862,328.6032,71.0894114046224
-94.883027,38.811244,327.0432,74.1158935282855
-94.914189,38.810996,325,77.041994006412
-94.937281,38.811119,325.7539906,79.0434519964027
-94.973572,38.811161,327.6543123,82.1879556200662
-95.010249,38.811261,320.3091026,85.3659129631571
-95.019018,38.828544,304.4229043,88.0442798966714
-95.018945,38.847706,305.202,90.1750265645675
-95.028275,38.869563,293.809228,93.4085763028157
-95.0607,38.869577,288.5228,96.2157959728442
-95.09328,38.869538,276.9302656,99.0363753035811
-95.099317,38.884131,265.7390901,101.175215981497
-95.122913,38.884147,281.5576,103.21762525705
-95.156279,38.884251,266.8512875,106.105733443084
-95.184182,38.884361,264.9336717,108.52093728883
-95.2139,38.88448,267.54688,111.093270172224
-95.24942,38.88453,272.813792,114.167784039278
-95.260406,38.904156,260.4793254,117.087657617907
-95.273048,38.920465,253.9670016,120.041173217518
-95.294175,38.927969,255.707096,122.050492560283
-95.322071,38.942077,289.8407754,125.100200772355
-95.335538,38.953536,293.1909107,127.471871679311
-95.340485,38.971393,326,130.098523890854
-95.372521,38.973867,317.6116427,133.020986560157
-95.389268,38.99305,324.027104,136.005958791207
-95.420977,39.00026,338.6439008,139.030322454583
-95.446083,39.003499,340.3432443,141.274224567492
-95.476167,39.011155,343.2126104,144.016260570784
-95.501342,39.023562,334.1618438,147.062872976279
-95.528997,39.030926,307.2216,150.004025842447
-95.554473,39.04424,293.8116608,153.012661434101
-95.579838,39.044237,282.9104,155.203979460638
-95.612288,39.044288,291.1104,158.006534701584
-95.635802,39.044245,272.7498096,160.038180938135
-95.658911,39.04795,275.030248,162.100765763442
-95.675887,39.038337,273.6029502,164.427210396827
-95.676683,39.05862,281.9698816,3.05222333617852
-95.66905,39.076378,272.602736,5.13430125256659
-95.64704,39.091008,268.7564928,8.23941555505649
-95.615278,39.093239,293.3581434,11.012285159904
-95.581717,39.088273,268.5402434,14.0024208944903
-95.557723,39.087489,268.8184182,16.0772258894663
-95.53428,39.087095,268.542272,18.1012352962406
-95.49993,39.087665,283.914312,21.0701588876814
-95.476735,39.086704,269.1674624,23.0834612449838
-95.437508,39.087239,261.9396,26.4709978821432
-95.409183,39.084031,262.8824,29.0027389477276
-95.386536,39.08032,261,31.0524432316993
-95.383789,39.056053,260.1339717,34.0434547939033
-95.391245,39.030476,301.2891552,37.0116185257528
-95.391405,39.011943,295.0156,39.0724869565359
-95.399684,38.995075,341.200896,42.006850989643
-95.434879,39.000456,344.2812,45.261088555306
-95.464874,39.008074,337.5864,48.010468138537
-95.489827,39.013502,341.77,50.2569765743564
-95.506334,39.029452,333,53.0051612169779
-95.534768,39.038119,303.0376403,56.0111344606669
-95.56642,39.044322,288.8386304,59.0733008418358
-95.600811,39.044298,289.4588131,62.0436685844777
-95.63502,39.044247,274.928,65.0114862938069
-95.657801,39.047662,271.8545334,67.0405441830149
-95.675887,39.038337,273.6029502,69.4680589425084
-95.676683,39.05862,281.9698816,3.05243832947066
-95.66905,39.076378,272.602736,5.13451623207543
-95.678268,39.091124,272.7506867,8.29175299455286
-95.714724,39.090863,274.78,11.4382539127723
-95.744714,39.090715,277.426,14.0269547212609
-95.778393,39.09381,276.8462032,17.0094022806857
-95.805088,39.094083,276,19.3153177209633
-95.837511,39.094239,278.9896882,22.1143777894402
-95.858614,39.105055,281.8124,25.0157961310132
-95.881326,39.110653,278.8485789,27.1098124864979
-95.915398,39.119232,281.6689946,30.2002668588082
-95.944056,39.131919,282.5464934,33.0673642522265
-95.963538,39.142236,286.4370547,35.1041270977443
-95.9962,39.159485,286.33544,38.5116353731246
-96.020763,39.172458,292.102,41.0739059888077
-96.040256,39.182461,289.0509926,43.091565652195
-96.071089,39.19409,297.3903696,46.0519138718031
-96.103659,39.207964,292.382423,49.257268460608
-96.137616,39.216674,296.5713754,52.4420133684732
-96.172041,39.216353,290.7816,55.4079316730571
-96.201469,39.217299,296.8033138,58.0077398620639
-96.236221,39.213227,290.2411286,61.0558559512693
-96.269963,39.209417,299.9143602,64.013661300503
-96.293291,39.209977,301.7774187,66.0253496127886
-96.313073,39.226291,322.6476,69.0547884110548
-96.314647,39.244285,320.3106392,71.0738178515228
-96.318409,39.27093,318.0947952,74.1282768497146
-96.330166,39.286596,344.6999706,76.1429138536168
-96.342106,39.302513,333.3911811,78.1894775385084
-96.359949,39.324244,355.5891142,81.065475514397
-96.378294,39.346637,381.6599229,84.051085203666
-96.389949,39.371526,402,87.0108659942013
-96.407633,39.392962,356.3368,90.0472983823779
-96.407586,39.411178,377.6192,92.0731722266912
-96.407472,39.438869,394.5968,95.1523244442901
-96.407549,39.45757,423.2407472,97.2318105623464
-96.407498,39.483767,456.9968406,100.145103457796
-96.407305,39.50972,456.599232,103.031013590334
-96.407167,39.528235,446.3187752,105.089847580494
-96.40708,39.549289,409.5254304,107.430994200975
-96.407627,39.579508,401.4572,110.791580432029
-96.407853,39.599369,391.4186986,113.000360055832
-96.407888,39.618082,388.508,115.081192964025
-96.414702,39.64252,403.0780416,118.045625840729
